step , number of hawks, number of doves
0, 71, 29
1, 75, 25
2, 74, 26
3, 75, 25
4, 73, 27
5, 74, 26
6, 73, 27
7, 74, 26
8, 73, 27
9, 74, 26
10, 74, 26
11, 73, 27
12, 73, 27
13, 73, 27
14, 73, 27
15, 70, 30
16, 72, 28
17, 72, 28
18, 72, 28
19, 72, 28
20, 72, 28
21, 72, 28
22, 71, 29
23, 71, 29
24, 71, 29
25, 71, 29
26, 70, 30
27, 71, 29
28, 69, 31
29, 71, 29
30, 72, 28
31, 72, 28
32, 70, 30
33, 71, 29
34, 70, 30
35, 70, 30
36, 70, 30
37, 71, 29
38, 71, 29
39, 70, 30
40, 68, 32
41, 68, 32
42, 69, 31
43, 68, 32
44, 69, 31
45, 68, 32
46, 68, 32
47, 69, 31
48, 68, 32
49, 67, 33
